# Mode Q0 sigma 
1 0 213 
2 0 144 
3 0 49 
4 0 36 
5 0 32 
6 0 29 
7 57 29 
8 0 25 
9 61 25 
10 43 24 
11 0 23 
12 0 23 
13 0 21 
14 16 21 
15 7 20 
16 0 20 
17 18 20 
18 33 19 
19 41 19 
20 0 18 
21 35 18 
22 0 17 
23 21 18 
24 0 17 
25 0 17 
26 0 17 
27 11 16 
28 0 16 
29 0 16 
30 21 16 
31 0 15 
32 0 15 
33 28 15 
34 0 15 
35 4 15 
36 4 15 
37 6 14 
38 7 14 
39 3 14 
40 3 14 
41 3 14 
42 0 38 
43 5 13 
44 4 13 
45 4 13 
46 7 13 
47 3 13 
48 11 13 
49 3 13 
50 6 12 
51 3 12 
52 8 12 
53 8 12 
54 1 12 
55 4 12 
56 5 12 
57 2 12 
58 4 12 
59 42 11 
60 0 8 
61 0 8 
62 0 8 
63 0 8 
64 0 8 
65 0 8 
66 1 8 
67 1 8 
